id,name,value,changePercentage,change,turnover,volume,open,high,low,updatedOn
3,Abu Qir Fertilizers,57.01,-0.96,-0.55,49713656,868487,57.56,57.7,56.85,8/24/2024
3,Abu Qir Fertilizers,57.9,1.56,0.89,53357288,923263,57.01,58.11,57.06,8/25/2024
3,Abu Qir Fertilizers,57.1,-1.38,-0.8,51502308,894767,57.9,58.4,57,8/27/2024
3,Abu Qir Fertilizers,58.36,1.85,1.06,100173464,1728029,57.3,58.7,57.34,8/28/2024
3,Abu Qir Fertilizers,63,-0.94,-0.6,84043960,1328717,63.6,64.2,62.02,9/8/2024
3,Abu Qir Fertilizers,59,-1.37,-0.82,103677048,1754233,59.82,60.18,58.7,9/15/2024
3,Abu Qir Fertilizers,60.26,-0.4,-0.24,82433984,1369485,60.5,60.9,59.9,9/23/2024
3,Abu Qir Fertilizers,63.29,-0.52,-0.33,56336936,888210,63.62,63.9,63.1,10/1/2024
3,Abu Qir Fertilizers,61.7,-2.51,-1.59,101715712,1632481,63.29,63,61.66,10/2/2024
3,Abu Qir Fertilizers,62,0.49,0.3,73607128,1192369,61.7,62.3,61.45,10/4/2024
3,Abu Qir Fertilizers,62.13,0.21,0.13,49329196,791893,62,62.88,62.02,10/7/2024
3,Abu Qir Fertilizers,62.99,2.42,1.49,149870208,2396945,61.5,63.3,61.4,10/10/2024
3,Abu Qir Fertilizers,64.4,0.66,0.42,98572960,1528768,63.98,64.88,64.04,10/15/2024
3,Abu Qir Fertilizers,57.48,-9.19,-5.82,102581328,1787886,63.3,58,56.01,10/22/2024
4,ACC,9.37,-1.58,-0.15,10313015,1087400,9.52,9.6,9.3,8/12/2024
4,ACC,8.88,-4.52,-0.42,14219167,1592288,9.3,9.2,8.7,8/5/2024
4,ACC,9.09,2.36,0.21,4535494.5,499842,8.88,9.25,8.95,8/6/2024
4,ACC,9.58,5.39,0.49,23368172,2468637,9.09,9.68,9.14,8/7/2024
4,ACC,9.54,-0.42,-0.04,10846249,1139633,9.58,9.64,9.3,8/8/2024
4,ACC,9.52,0.63,0.06,6112462.5,641002,9.46,9.61,9.47,8/11/2024
4,ACC,9.27,-1.07,-0.1,14758830,1574354,9.37,9.54,9.26,8/13/2024
4,ACC,9.44,3.28,0.3,21103890,2230849,9.14,9.63,9.18,8/15/2024
4,ACC,9.6,1.69,0.16,20808464,2157949,9.44,9.84,9.42,8/18/2024
4,ACC,10.08,5,0.48,75146992,7417274,9.6,10.46,9.62,8/19/2024
4,ACC,10.16,0.79,0.08,24483058,2399758,10.08,10.36,10.07,8/20/2024
4,ACC,11.3,11.22,1.14,119196544,10826324,10.16,11.68,10.18,8/21/2024
4,ACC,11.71,3.63,0.41,130414104,10823538,11.3,12.9,11.33,8/24/2024
4,ACC,11.5,-1.79,-0.21,45307964,3828558,11.71,12.25,11.5,8/25/2024
4,ACC,11.31,-1.65,-0.19,27723154,2414582,11.5,11.75,11.27,8/27/2024
4,ACC,11.68,-1.68,-0.2,25901906,2162062,11.88,12.26,11.64,8/28/2024
4,ACC,11.09,0.18,0.02,25688180,2264054,11.07,11.69,10.92,9/8/2024
4,ACC,11.4,2.24,0.25,59748548,5185047,11.15,11.79,11.21,9/15/2024
4,ACC,11.32,4.72,0.51,95841984,8550085,10.81,11.4,10.86,9/23/2024
4,ACC,11.35,0.62,0.07,26340046,2321198,11.28,11.44,11.23,10/1/2024
4,ACC,11.01,-3,-0.34,17957960,1608270,11.35,11.34,11,10/2/2024
4,ACC,11.14,1.18,0.13,10686329,959405,11.01,11.25,11,10/4/2024
4,ACC,11.45,2.78,0.31,41964864,3627451,11.14,11.77,11.25,10/7/2024
4,ACC,11.65,0.6,0.07,18570086,1601739,11.58,11.8,11.45,10/10/2024
4,ACC,13.63,7.24,0.92,77442936,5766389,12.71,13.89,12.75,10/15/2024
4,ACC,15.39,6.65,0.96,37116764,2420728,14.43,15.91,14.5,10/22/2024
5,Acrow Misr,48.7,-1.74,-0.87,686074.44,13924,49.93,49.94,48.7,8/12/2024
5,Acrow Misr,45.46,-6.98,-3.41,1494599.25,33041,48.87,47,44,8/5/2024
5,Acrow Misr,47.98,5.54,2.52,994598.69,21297,45.46,47.98,46,8/6/2024
5,Acrow Misr,49.99,5.69,2.69,1399404.75,28447,47.3,50,47.5,8/7/2024
5,Acrow Misr,49.59,-0.8,-0.4,931469.69,18832,49.99,50.69,49,8/8/2024
5,Acrow Misr,49.99,0.81,0.4,1030284.88,20495,49.59,51.24,49.59,8/11/2024
5,Acrow Misr,47.98,-2.28,-1.12,545895,11359,49.06,49,47.05,8/13/2024
5,Acrow Misr,48.2,0,0,250983.34,5230,48.2,48.9,47.62,8/15/2024
5,Acrow Misr,48.1,0,0,187113.27,3887,48.2,48.5,48,8/18/2024
5,Acrow Misr,48.2,0,0,169288.34,3534,48.2,48.47,47.47,8/19/2024
5,Acrow Misr,51.14,6.1,2.94,3326669.5,64173,48.2,52.98,49.98,8/20/2024
5,Acrow Misr,50.85,-0.57,-0.29,1055502.13,20552,51.14,52.27,50.3,8/21/2024
5,Acrow Misr,61.02,20,10.17,11027629,183586,50.85,61.02,51.51,8/24/2024
5,Acrow Misr,64.1,5.05,3.08,25551896,383709,61.02,73.22,61.7,8/25/2024
5,Acrow Misr,61.27,-4.41,-2.83,7239161,115734,64.1,64.98,60.56,8/27/2024
5,Acrow Misr,59.84,-0.48,-0.29,2095661,34780,60.13,61.83,59.5,8/28/2024
